Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153)
4.247267028511789e-11,0.8409530006387967,7.2002833142836933e-16,1.1412531027669575e-21,1.141090667368959e-21,7.5630905856099135e-33,1.6243549912633575e-25,0.0,0.0,1.1157146885886032e-13,3.8972684875093556e-22,154.0,0.0,0.99999962373730555,1.0,18.999999994205247,7.5529352277248012e-08,2.2183144578484734e-10,1.4178457224736655e-07,1.4757909082911977e-07,5.3532142438550991e-09,5.7945194570950654e-09,1.1316684090605031e-13
4.520045952313736e-11,0.8409530006352034,7.6624137149497233e-16,1.2925193012759437e-21,1.2923235210029211e-21,9.6677917332856751e-33,1.9578040683598941e-25,0.0,0.0,1.2596718839094042e-13,4.6951630844140771e-22,154.0,0.0,0.99999959957267148,1.0,18.999999993457482,8.038015984601847e-08,2.2183144308730391e-10,1.5051502126881172e-07,1.5705729155942548e-07,5.7106391955794589e-09,6.5422639921797374e-09,1.2043499792116237e-13
4.7928248761156826e-11,0.8409530006314044,8.1245072618159904e-16,1.4531918535163899e-21,1.4529584521129401e-21,1.2182322459663853e-32,2.3340157658139581e-25,0.0,0.0,1.4121440312869929e-13,5.5963239098918318e-22,154.0,0.0,0.99999957540804318,1.0,18.999999992666897,8.523096342550339e-08,2.2183144130266003e-10,1.5920264545375328e-07,1.6653549183161791e-07,6.0680641377237066e-09,7.3328320541628531e-09,1.2770315458421345e-13
5.338382723719576e-11,0.840953000623197,9.0485837476998805e-16,1.8027530178294575e-21,1.8024305141299264e-21,1.8641877682930858e-32,3.2250397445338224e-25,0.0,0.0,1.7424953753872726e-13,7.7346644885175871e-22,154.0,0.0,0.99999952707880391,1.0,18.999999990958873,9.4932558616629469e-08,2.218314377831799e-10,1.7645105395814432e-07,1.8549189100165461e-07,6.7829139958418732e-09,9.0408041285779107e-09,1.4223946685396179e-13
5.883940571323469e-11,0.8409530006141896,9.9725126804621908e-16,2.1899305906306308e-21,2.1894987860827496e-21,2.7371057785885385e-32,4.3180496133823144e-25,0.0,0.0,2.106496404061366e-13,1.0365125861610343e-21,154.0,0.0,0.99999947874958772,1.0,18.999999989084422,1.0463413785065199e-07,2.2183142442298216e-10,1.9353302794143705e-07,2.0444828833921313e-07,7.4977638285353748e-09,1.0915205526657961e-08,1.5677577771495924e-13
6.429498418927362e-11,0.8409530006043975,1.0896293970873504e-15,2.6147185631610293e-21,2.6141551973932874e-21,3.8842428069009562e-32,5.6336636413693294e-25,0.0,0.0,2.5038799897631226e-13,1.3541156000268202e-21,154.0,0.0,0.9999994304203943,1.0,18.999999987046706,1.1433570112759667e-07,2.2183141200251035e-10,2.1045173602890061e-07,2.2340468384427691e-07,8.2126136255004312e-09,1.2952867649829884e-08,1.7131208716687807e-13
6.975056266531255e-11,0.8409530005938358,1.18199275319033e-15,3.0771109230732661e-21,3.0763916743375096e-21,5.357133319514541e-32,7.1924956784947121e-25,0.0,0.0,2.9343840906787017e-13,1.7316791728044206e-21,154.0,0.0,0.99999938209122397,1.0,18.999999984848834,1.2403724844748919e-07,2.2183140413089769e-10,2.2721028651848958e-07,2.4236107751682959e-07,8.9274633832875072e-09,1.5150682226326978e-08,1.8584839520939867e-13
7.520614114135149e-11,0.8409530005825195,1.2743413278676945e-15,3.5771016545223652e-21,3.5762001401365834e-21,7.2115434880169265e-32,9.0151551537939487e-25,0.0,0.0,3.3977516514597355e-13,2.1746636821542199e-21,154.0,0.0,0.99999933376207661,1.0,18.999999982493854,1.3373877981035517e-07,2.2183139662861226e-10,2.4381172855835399e-07,2.6131746935685497e-07,9.6423131058913475e-09,1.75056001336885e-08,2.0038470184220964e-13
8.066171961739042e-11,0.8409530005704622,1.366675112843488e-15,4.1146847382520353e-21,4.11357251504332e-21,9.5074275321710341e-32,1.1122247073504778e-24,0.0,0.0,3.8937305090260665e-13,2.6885841833105807e-21,154.0,0.0,0.99999928543295225,1.0,18.999999979984754,1.4344029521622041e-07,2.2183138757614094e-10,2.6025905326421423e-07,2.8027385936433685e-07,1.0357162795146619e-08,2.0014630281394174e-08,2.1492100706500732e-13
8.611729809342935e-11,0.8409530005576789,1.4589941000496307e-15,4.6898541516714242e-21,4.6885007164190891e-21,1.2308889092785637e-31,1.3534372019452596e-24,0.0,0.0,4.4220733087535828e-13,3.2790086646748405e-21,154.0,0.0,0.99999923710385052,1.0,18.999999977324485,1.5314179466511063e-07,2.2183137822050198e-10,2.765551947135473e-07,2.9923024753925914e-07,1.107201244986145e-08,2.2674838616686669e-08,2.2945731087749556e-13
