Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82)
8.388127961792062e-13,0.17203094246590114,76.950000000000003,0.0,0.0,0.0,0.99999781880787075,9.49999999668999,6.3751645412613753e-08,9.2223850529259986e-07,9.2109507372147024e-07,2.2267202165717232e-09,5.2775568443202507e-13,2.0124305803972732e-07,6.9553838036081033e-08,1.0827609196259109e-09,2.9867907995723212e-17
8.916947718433291e-13,0.17203094246509182,76.950000000000003,0.0,0.0,0.0,0.99999768147346879,9.4999999962785893,6.7770785782243972e-08,9.8032524246662118e-07,9.7901616270404853e-07,2.5152433180321506e-09,5.6100003508797491e-13,2.100506597397789e-07,7.7642273484222027e-08,1.2056025891627969e-09,3.3738154449576679e-17
9.44576747507452e-13,0.17203094246423897,76.950000000000003,0.0,0.0,0.0,0.9999975441552299,9.4999999958450765,7.1789925220558541e-08,1.038407283322589e-06,1.036919800590987e-06,2.8212015274391664e-09,5.9424169767567829e-13,2.1850280224458429e-07,8.6070038288589149e-08,1.3331245919817587e-09,3.7842284928044592e-17
9.974587231715748e-13,0.17203094246334324,76.950000000000003,0.0,0.0,0.0,0.99999740685250271,9.4999999953897056,7.5809063727621251e-08,1.0964848611604412e-06,1.0948060100915999e-06,3.1445721373218887e-09,6.2748080573050556e-13,2.2661383117226455e-07,9.4823437707324178e-08,1.4650936298552818e-09,4.2179994820757216e-17
1e-12,0.17203094246240488,76.950000000000003,0.0,0.0,0.0,0.99999740025471306,9.4999999953672756,7.6002205950275924e-08,1.0992757074085353e-06,1.0975873300458885e-06,3.1605500143396691e-09,6.2907806999511925e-13,2.2699526069548339e-07,9.5252060011812487e-08,1.4715436160173392e-09,4.2394323095890578e-17
1.0503406988356976e-12,0.17203094246240488,76.950000000000003,0.0,0.0,0.0,0.99999726956466295,9.4999999949127183,7.9828201303493261e-08,1.1545581976511814e-06,1.1526748138855596e-06,3.4853324697776431e-09,6.6071748613169322e-13,2.3439751318366111e-07,1.0388932968792811e-07,1.6012880334209827e-09,4.6750979913988866e-17
1.1032226744998204e-12,0.17203094246142447,76.950000000000003,0.0,0.0,0.0,0.99999713229111087,9.4999999944143489,8.3847337948233282e-08,1.2126275034164103e-06,1.2105262346229366e-06,3.8434598764334964e-09,6.93951859434054e-13,2.4186705934381386e-07,1.1325510256571941e-07,1.7414971826556668e-09,5.1554936390141854e-17
1.1561046501639433e-12,0.17203094246040251,76.950000000000003,0.0,0.0,0.0,0.9999969950312716,9.4999999938948196,8.7866473661897667e-08,1.2706929785790668e-06,1.2683602949242419e-06,4.2189317384078216e-09,7.2718404018320755e-13,2.4903514754375236e-07,1.2290865365934306e-07,1.8855209561342244e-09,5.6591560827230916e-17
1.2089866258280661e-12,0.17203094245933928,76.950000000000003,0.0,0.0,0.0,0.9999968577845928,9.4999999933543418,9.188560844454048e-08,1.3287548132867992e-06,1.3261770173804678e-06,4.611725466271859e-09,7.6041413721514811e-13,2.5591394402000536e-07,1.328383687276252e-07,2.0331692076637933e-09,6.1860550198367612e-17
1.261868601492189e-12,0.17203094245823525,76.950000000000003,0.0,0.0,0.0,0.999996720550545,9.4999999927931267,9.5904742296213643e-08,1.3868131882092228e-06,1.3839764245531291e-06,5.0218185000113343e-09,7.9364225394086153e-13,2.6251512400512359e-07,1.4303310225598644e-07,2.1842612690255003e-09,6.7361601871245374e-17
1.3147505771563118e-12,0.17203094245709083,76.950000000000003,0.0,0.0,0.0,0.99999658332861996,9.4999999922113592,9.9923875216966972e-08,1.4448682750103479e-06,1.4417585389743037e-06,5.4491883089881265e-09,8.2686848861673162e-13,2.6884989154325247e-07,1.5348215853992343e-07,2.3386254775499708e-09,7.3094413607625338e-17
1.3676325528204346e-12,0.17203094245590625,76.950000000000003,0.0,0.0,0.0,0.99999644611832927,9.4999999916092275,1.0394300720684832e-07,1.5029202367974497e-06,1.4995233831466744e-06,5.8938123919020113e-09,8.6009293460146584e-13,2.7492899850560032e-07,1.641752735322933e-07,2.4960987272508665e-09,7.9058683562823189e-17
1.4205145284845575e-12,0.17203094245468206,76.950000000000003,0.0,0.0,0.0,0.99999630891920543,9.4999999909869111,1.0796213826590354e-07,1.5609692285475811e-06,1.5572709795435668e-06,6.3556682767524563e-09,8.9331568060021702e-13,2.8076276283910043e-07,1.7510259742261269e-07,2.6565260423123502e-09,8.5254110285196555e-17
1.4733965041486803e-12,0.1720309424534185,76.950000000000003,0.0,0.0,0.0,0.99999617173079902,9.4999999903445786,1.1198126839417673e-07,1.6190153975128409e-06,1.6150013506089936e-06,6.8347335208004408e-09,9.2653681089655459e-13,2.8636108607904956e-07,1.8625467791898714e-07,2.8197601718231304e-09,9.1680392715632992e-17
